Gender,Age,Exam_Year,State,School_Type,Highest_Score,Prep_Method,Prep_Challenges,Confidence_Level,Difficult_Subject,CBT_Familiarity,Exam_Day_Challenges,Center_Facilities_Rating,Technical_Issues,Prep_Improvement,Success
Female,16 - 17,2022,Enugu,Private,243,"Attended coaching centers, Studied independently, Used online platforms (e.g., YouTube, CBT apps)","Lack of study materials, Poor electricity/internet, Financial difficulties, Poor time management",3,Physics,Yes,"Delay in starting the exam, Poor ventilation or overcrowding, Miscommunication by invigilators",3,I didn’t experience any,Reason earlier,TRUE
Female,18 - 19,2025,Ebonyi,Private,225,"Attended coaching centers, Studied independently, Used online platforms (e.g., YouTube, CBT apps)","Lack of study materials, Poor time management, Fear and anxiety ",3,Mathematics,Yes,"Technical issues (e.g., computer malfunction, login problems), Stress or panic",4,None,Lack of fear and anxiety,TRUE
Female,18 - 19,2025,Abuja,Public,199,Studied independently,Poor time management,3,Physic,Yes,Stress or panic,3,No,Time,FALSE
Female,16 - 17,2025,Abuja,Public,217,Attended coaching centers,Lack of study materials,4,English,Yes,Stress or panic,5,I didn't experience any,A current study booklet,TRUE
Female,18 - 19,2020,Ondo,Public,203,Studied independently,"Lack of study materials, Poor electricity/internet, Financial difficulties, Lack of motivation",3,Physics,Yes,None,5,None,Motivation,TRUE
Female,20 - 21,2025,Delta,Public,174,Studied independently,Financial difficulties,4,Mathematics,Maybe,Delay in starting the exam,4,None,A mathematics and Chemistry teacher to teach and make me to understand better being that it's been 8years since I finished my secondary school 🏫 and have forgotten a whole lot of formulas and the rest of them.,FALSE
Female,16 - 17,2024,Abuja,Private,285,"Attended coaching centers, Studied independently, Used online platforms (e.g., YouTube, CBT apps), Group study",Poor time management,3,Physics,Yes,"Technical issues (e.g., computer malfunction, login problems), Delay in starting the exam, Power outage, Poor ventilation or overcrowding",2,The computer shut down on it's own even with power supply,Enough time and more materials,TRUE
Female,16 - 17,2025,Abuja,Private,360,"Attended coaching centers, Studied independently","Lack of motivation, Poor time management",3,CRk,Yes,Poor ventilation or overcrowding,4,None,Knowledge bank,TRUE
Female,18 - 19,2025,Abuja,Public,206,Studied independently,Poor time management,2,Physics,Yes,Delay in starting the exam,5,No,Tutoring,TRUE
Male,16 - 17,2024,Abuja,Private,254,"Studied independently, Used online platforms (e.g., YouTube, CBT apps), Private tutoring","Lack of motivation, Poor time management",5,Physics,Yes,None,5,Nil,,TRUE
Female,15 years or Younger,2024,Abuja,Public,213,Attended coaching centers,"Lack of motivation, ",4,nil,No,Delay in starting the exam,3,nil,If I was given more time to read,TRUE
Prefer not to say,16 - 17,2020,Lagos,Private,206,Attended coaching centers,Financial difficulties,3,Mathematics,No,"Delay in starting the exam, Poor ventilation or overcrowding, Stress or panic",3,Nil,Better study materials,TRUE
Male,16 - 17,2024,Abuja,Public,257,Private tutoring,Honestly I was just Lazy,3,Chemistry,Yes,None,4,I didn't encounter any.,More concentration,TRUE
Male,22 years or Older,2024,Benue,Public,189,Studied independently,"No access to coaching centers, Lack of motivation, Poor time management",3,Chemistry,Yes,Stress or panic,4,None,Reading,FALSE
Female,18 - 19,2021,Osun,Public,214,"Attended coaching centers, Studied independently","Lack of motivation, Poor time management",4,Chemistry,Yes,"Delay in starting the exam, Poor ventilation or overcrowding",3,None,Time,TRUE
Male,20 - 21,2024,Benue,Public,164,Studied independently,Poor time management,5,Maths,No,Delay in starting the exam,5,My system wasn't working.,Tutor,FALSE
Male,18 - 19,2022,Osun,Private,301,"Attended coaching centers, Studied independently, Used online platforms (e.g., YouTube, CBT apps)",Poor time management,4,Chemistry,Yes,"Technical issues (e.g., computer malfunction, login problems), Delay in starting the exam, Poor ventilation or overcrowding",4,None,My CBT app,TRUE
Male,16 - 17,2025,Abuja,Private,340,Studied independently,Poor time management,5,English,Yes,None,5,None,Better time management,TRUE
Female,15 years or Younger,2023,Lagos,Private,224,Attended coaching centers,"Lack of study materials, Lack of motivation, Poor time management",3,Physics,Yes,Stress or panic,5,I encountered none,Adequate study materials,TRUE
Female,18 - 19,2022,Benue,Public,282,Studied independently,Poor time management,5,None,Yes,Delay in starting the exam,5,None,Motivation,TRUE
Female,16 - 17,2024,Kwara,Public,199,Studied independently,Lack of study materials,3,Literature,No,None,4,Nil,Coaching,FALSE
Female,18 - 19,2021,Lagos,Private,210,Attended coaching centers,Poor electricity/internet,3,Mathematics,No,Delay in starting the exam,4,None,Materials,TRUE
Male,16 - 17,2025,Lagos,Public,177,Attended coaching centers,Poor time management,4,Maths,Yes,Delay in starting the exam,3,Delay in starting my exams,I just have to use the simple method given to me in my coaching center,FALSE
Male,18 - 19,2021,Lagos,Private,197,"Attended coaching centers, Studied independently, Used online platforms (e.g., YouTube, CBT apps), Group study","Financial difficulties, Poor time management",3,Maths,Yes,Stress or panic,4,Not at all,Better Time Management,FALSE
Male,18 - 19,2021,Kwara,Public,171,Attended coaching centers,Poor time management,2,Physics,Yes,"Delay in starting the exam, Poor ventilation or overcrowding, Stress or panic",2,We where been bully by officers,Keep clicking,FALSE
Female,18 - 19,2024,Benue,Private,214,"Used online platforms (e.g., YouTube, CBT apps)",Lack of study materials,4,Mathematics,Yes,None,5,None,Sufficient material,TRUE
Male,16 - 17,2025,Lagos,Private,190,"Attended coaching centers, Studied independently, Used online platforms (e.g., YouTube, CBT apps)",Lack of motivation,4,Chemistry,No,"Technical issues (e.g., computer malfunction, login problems), Delay in starting the exam, Stress or panic",3,Computer off,If I had study extremely well,FALSE
Male,18 - 19,2021,Abuja,Private,250,Attended coaching centers,Lack of motivation,4,Physics,Yes,Delay in starting the exam,3,No,Access to jamb past questions,TRUE
Male,18 - 19,2024,Kwara,Public,195,Studied independently,"Lack of study materials, Poor electricity/internet, No access to coaching centers, Financial difficulties",3,Chemistry,No,"Delay in starting the exam, Poor ventilation or overcrowding, Stress or panic",3,No,Good coaching on the taken subjects,FALSE
Female,18 - 19,2020,Kwara,Public,201,Studied independently,"Lack of study materials, Poor electricity/internet, No access to coaching centers, Financial difficulties, Lack of motivation, Poor time management",3,Economics,No,"Technical issues (e.g., computer malfunction, login problems), Delay in starting the exam, Power outage, Poor ventilation or overcrowding, Stress or panic, Miscommunication by invigilators",2,"All the systems went off, they had to wait for others to finish so we could use the hall",Access to good coaching centers,TRUE
Female,16 - 17,2020,Niger,Public,190,Group study,"Lack of study materials, Poor electricity/internet, No access to coaching centers, Poor time management",2,Physics,No,"Technical issues (e.g., computer malfunction, login problems), Delay in starting the exam, Power outage, Poor ventilation or overcrowding, Stress or panic",2,They’re bad,,FALSE
Female,18 - 19,2021,Kwara,Public,201,Attended coaching centers,Financial difficulties,2,Physics,No,Stress or panic,5,No I didn't,Location,TRUE
Female,16 - 17,2022,Osun,Private,185,Private tutoring,"Poor time management, ",3,,Yes,"Technical issues (e.g., computer malfunction, login problems)",3,My system shut down,Private couching,FALSE
Female,22 years or Older,2021,Kwara,Public,210,Attended coaching centers,"Poor electricity/internet, Poor time management",3,,Maybe,Delay in starting the exam,4,I did not encounter technical issues,Enough time,TRUE
